repository_language,type,active_repos_by_url,events,year,quarter
Elm,ForkEvent,41,137,2014,4
Thrift,WatchEvent,2,48,2014,4
Papyrus,IssuesEvent,3,166,2014,4
Agda,WatchEvent,41,128,2014,4
OpenEdge ABL,ForkEvent,45,99,2014,4
BlitzBasic,WatchEvent,53,93,2014,4
Tcl,WatchEvent,114,222,2014,4
Idris,WatchEvent,38,193,2014,4
Bro,PushEvent,33,182,2014,4
Nemerle,WatchEvent,18,174,2014,4
GAMS,PushEvent,18,191,2014,4
REALbasic,PushEvent,23,131,2014,4
Red,IssuesEvent,1,32,2014,4
FLUX,PushEvent,34,200,2014,4
Visual Basic,IssuesEvent,155,772,2014,4
Nemerle,PushEvent,23,391,2014,4
DM,WatchEvent,69,194,2014,4
LiveScript,IssuesEvent,50,168,2014,4
Scilab,PushEvent,91,528,2014,4
D,IssuesEvent,176,706,2014,4
nesC,ForkEvent,39,101,2014,4
CSS,CreateEvent,391,396,2014,4
Brightscript,PushEvent,38,244,2014,4
LabVIEW,IssuesEvent,24,253,2014,4
Assembly,IssuesEvent,113,727,2014,4
DOT,ForkEvent,22,39,2014,4
XQuery,IssuesEvent,26,220,2014,4
Kotlin,ForkEvent,41,653,2014,4
Squirrel,ForkEvent,18,54,2014,4
Squirrel,PushEvent,66,457,2014,4
C,CreateEvent,140,141,2014,4
Bluespec,PushEvent,21,571,2014,4
Game Maker Language,IssuesEvent,23,134,2014,4
Tcl,IssuesEvent,49,214,2014,4
Prolog,IssuesEvent,81,362,2014,4
AutoIt,ForkEvent,28,49,2014,4
Cuda,ForkEvent,65,214,2014,4
VCL,WatchEvent,42,159,2014,4
SAS,WatchEvent,34,61,2014,4
XProc,PushEvent,14,114,2014,4
AutoIt,PushEvent,171,1253,2014,4
Gosu,ForkEvent,56,130,2014,4
Mathematica,ForkEvent,51,98,2014,4
EmberScript,IssuesEvent,3,7,2014,4
Ceylon,WatchEvent,16,28,2014,4
Parrot,PushEvent,13,208,2014,4
Awk,WatchEvent,34,134,2014,4
Logos,WatchEvent,189,463,2014,4
Nimrod,WatchEvent,63,384,2014,4
Isabelle,PushEvent,24,142,2014,4
ColdFusion,ForkEvent,147,247,2014,4
GDScript,ForkEvent,6,11,2014,4
Logos,ForkEvent,122,238,2014,4
IDL,IssuesEvent,29,315,2014,4
Ruby,CreateEvent,373,393,2014,4
Elixir,ForkEvent,239,606,2014,4
Tcl,ForkEvent,82,117,2014,4
DOT,PushEvent,43,423,2014,4
Swift,CreateEvent,172,176,2014,4
ASP,ForkEvent,171,227,2014,4
Apex,WatchEvent,135,321,2014,4
Python,CreateEvent,1051,1056,2014,4
Frege,ForkEvent,8,21,2014,4
xBase,PushEvent,41,1240,2014,4
PureScript,IssuesEvent,57,174,2014,4
ooc,PushEvent,57,609,2014,4
XQuery,ForkEvent,36,52,2014,4
IGOR Pro,PushEvent,13,105,2014,4
XML,ForkEvent,20,29,2014,4
XML,WatchEvent,23,37,2014,4
Xojo,PushEvent,22,246,2014,4
