repository_language,type,active_repos,lang_usage,sum_rep_size,sum_rep_forks,sum_rep_openissues,sum_rep_watchers
PogoScript,IssueCommentEvent,3,14,2528,17,22,13
Awk,PublicEvent,2,2,236,0,0,0
MoonScript,IssueCommentEvent,3,52,204051,110,66,855
Bluespec,ForkEvent,1,2,7698,13,25,7
MoonScript,PullRequestEvent,2,13,74389,27,29,227
Ceylon,GollumEvent,3,4,2536,0,2,6
Ragel in Ruby Host,PullRequestEvent,2,6,27836,280,37,1200
Ragel in Ruby Host,PullRequestReviewCommentEvent,1,3,16677,111,3,282
Idris,ForkEvent,10,17,5069,32,2,238
DOT,ReleaseEvent,5,11,256439,2,22,0
Rebol,ForkEvent,24,30,12685,77,40,156
MoonScript,ForkEvent,22,26,36039,40,8,176
Squirrel,CommitCommentEvent,2,2,1979,0,0,3
Squirrel,PullRequestEvent,6,33,30322,112,23,266
ANTLR,CreateEvent,19,25,158444,0,10,8
PogoScript,ForkEvent,16,20,53670,136,31,456
PogoScript,WatchEvent,16,30,230460,170,29,617
Omgrofl,ForkEvent,3,3,368,3,0,6
Omgrofl,WatchEvent,3,3,368,3,0,6
Perl6,DeleteEvent,1,6,141523,828,61,2773
Tcl,ReleaseEvent,10,13,70237,1,13,27
REALbasic,IssuesEvent,1,7,121612,112,7,129
VHDL,ReleaseEvent,6,9,304812,11,3,8
ooc,CommitCommentEvent,2,14,8174,12,8,66
Julia,GollumEvent,26,138,61331,44,23,90
Ioke,PushEvent,8,8,1118,1,0,4
Oxygene,PullRequestEvent,4,5,195379,204,26,417
Kotlin,MemberEvent,3,4,23679,6,4,7
AutoIt,ReleaseEvent,8,13,17912,8,8,5
Self,IssuesEvent,2,16,2059096,258,174,2190
Haxe,PublicEvent,10,11,16556,3,5,3
Elixir,PublicEvent,9,9,1232,0,0,0
Self,IssueCommentEvent,2,29,1897250,529,324,4624
Awk,MemberEvent,1,2,0,0,0,0
Oxygene,ReleaseEvent,1,1,2268,0,0,0
Io,ReleaseEvent,1,11,1590194,533,788,4230
Kotlin,ReleaseEvent,2,3,2452,0,2,0
ANTLR,IssueCommentEvent,1,3,117156,0,17,6
Scilab,WatchEvent,25,38,2181681,232,37,316
Apex,MemberEvent,7,12,32887,8,2,9
Nu,PushEvent,11,20,45765,7,0,38
Mirah,GollumEvent,1,26,1303752,1455,1432,16792
Factor,ForkEvent,20,27,606208,426,1432,1706
MoonScript,CommitCommentEvent,3,5,12372,0,2,12
Idris,GollumEvent,1,6,4827,9,0,148
XML,CommitCommentEvent,4,9,167431,67,282,124
DCPU-16 ASM,CreateEvent,4,4,0,0,0,0
BlitzBasic,ReleaseEvent,1,1,180,0,0,0
Tcl,PublicEvent,4,5,13774,0,0,2
Prolog,PublicEvent,7,7,61344,0,0,1
XC,GollumEvent,3,5,2419,0,0,0
Fantom,CreateEvent,3,3,0,0,0,0
Monkey,PullRequestEvent,2,6,1254,4,6,18
Arc,DeleteEvent,1,2,0,0,0,0
RobotFramework,GollumEvent,1,1,0,0,0,0
Coq,MemberEvent,8,10,1308,2,3,0
Ioke,WatchEvent,13,26,12157,12,2,56
Logtalk,CreateEvent,1,5,78950,6,20,122
Fantom,WatchEvent,25,34,106116,23,0,83
Pascal,TeamAddEvent,5,7,193751,3,0,7
Verilog,PublicEvent,19,19,40419,0,6,2
HaXe,DeleteEvent,4,9,105200,4,0,41
Delphi,CreateEvent,1,1,128,0,0,0
Prolog,IssueCommentEvent,15,27,81636,25,33,62
Scilab,CommitCommentEvent,3,39,115000,0,0,0
Ecl,GollumEvent,1,1,136,0,0,0
Standard ML,MemberEvent,15,26,132006,4,0,17
Squirrel,DeleteEvent,6,12,9251,17,3,69
Pure Data,GollumEvent,4,27,36723,23,0,17
MoonScript,MemberEvent,1,1,0,0,0,0
Racket,ReleaseEvent,2,4,1277,0,6,9
Forth,CreateEvent,4,4,20185,1,15,6
Forth,WatchEvent,19,31,224107,29,30,72
Dylan,GollumEvent,1,10,894314,272,35,1244
PogoScript,DeleteEvent,2,2,238,0,0,0
Ecl,PullRequestReviewCommentEvent,2,33,111102,588,558,904
Ecl,IssueCommentEvent,3,8,114523,77,16,48
Boo,ForkEvent,19,22,63077,79,34,228
Coq,GollumEvent,7,10,53120,167,85,625
Bluespec,IssueCommentEvent,1,8,30792,48,98,24
Racket,PublicEvent,10,10,27030,0,2,0
Self,CommitCommentEvent,2,11,456057,159,137,1362
ooc,CreateEvent,10,18,5112,7,13,30
Apex,CommitCommentEvent,6,16,80591,71,861,61
LiveScript,PullRequestReviewCommentEvent,4,11,1230635,1133,39,2391
UnrealScript,GollumEvent,4,6,1840,0,2,2
Ada,ReleaseEvent,4,9,50016,4,12,5
Augeas,GollumEvent,2,15,129238,750,221,1281
Oxygene,CreateEvent,4,4,84344,0,0,0
IDL,PullRequestReviewCommentEvent,1,68,18728364,7335,18769,38256
LiveScript,PublicEvent,11,11,1520572,0,0,1
AutoIt,MemberEvent,4,6,9869,11,1,0
Logos,PullRequestReviewCommentEvent,1,3,0,6,3,18
D,PublicEvent,18,18,425754,0,1,6
NetLogo,CommitCommentEvent,3,6,50144,7,91,21
Nemerle,MemberEvent,2,2,686,1,0,2
ASP,TeamAddEvent,6,6,38215,0,0,0
Common Lisp,TeamAddEvent,2,2,959,2,22,0
Scheme,MemberEvent,24,29,58573,16,3,20
Idris,PullRequestEvent,7,18,6004,36,10,184
Elm,GollumEvent,5,5,461,1,0,4
XML,GollumEvent,5,26,110203,169,58,41
Squirrel,IssuesEvent,7,39,28255,48,94,188
Ada,PublicEvent,6,6,52038,0,2,1
Slash,IssuesEvent,5,23,688120,158,246,300
Fancy,PushEvent,2,2,11751,14,3,207
Xtend,GollumEvent,7,19,62155,5,76,21
ColdFusion,MemberEvent,5,5,754,6,2,7
Pure Data,PullRequestEvent,3,5,4297,235,5,390
XQuery,MemberEvent,3,6,0,0,0,0
Rebol,WatchEvent,24,34,16621,74,72,187
XProc,WatchEvent,13,30,183521,20,8,57
XProc,ForkEvent,10,13,119634,26,9,37
COBOL,IssuesEvent,2,9,706879,6,11,15
COBOL,IssueCommentEvent,4,9,647242,33,7,163
XC,TeamAddEvent,1,1,2286,0,0,0
Objective-J,CommitCommentEvent,3,11,760405,347,322,2029
Rust,TeamAddEvent,4,4,0,2,1,0
Rouge,PushEvent,2,12,7220,3,0,15
Pure Data,MemberEvent,3,3,0,0,0,0
BlitzBasic,PullRequestReviewCommentEvent,1,3,7725,42,6,90
BlitzBasic,TeamAddEvent,5,5,273316,15,1,5
Emacs Lisp,TeamAddEvent,7,7,2365,0,11,9
Fancy,WatchEvent,14,34,166631,174,34,2372
FORTRAN,TeamAddEvent,6,9,19223,43,48,35
Nu,CreateEvent,4,7,1654,4,0,0
IDL,PublicEvent,4,4,828,0,0,0
Brightscript,CommitCommentEvent,2,16,274472,51,628,155
Standard ML,ReleaseEvent,1,1,11355,10,13,58
Agda,DeleteEvent,4,11,14376,15,0,77
xBase,DeleteEvent,1,1,39366,1,0,2
Slash,ReleaseEvent,1,2,41912,0,0,0
XProc,PullRequestReviewCommentEvent,2,20,247502,26,115,43
Nemerle,ReleaseEvent,2,2,5450,6,0,25
Bluespec,CreateEvent,1,2,41229,2,4,4
Crystal,CommitCommentEvent,1,27,390488,536,194,11139
Bluespec,GollumEvent,1,27,406957,27,54,54
PowerShell,PullRequestReviewCommentEvent,6,32,1039135,2094,582,7746
XC,IssuesEvent,4,6,5631,71,3,61
Agda,GollumEvent,4,6,708,0,0,0
Brightscript,DeleteEvent,3,22,417524,99,467,304
Objective-J,MemberEvent,4,5,202037,7,63,13
Glyph,WatchEvent,15,25,2586419,22,0,43
Self,GollumEvent,1,51,2625021,1122,714,9152
Nemerle,DeleteEvent,3,5,42708,0,0,2
Bro,PullRequestEvent,3,4,871,7,2,16
Squirrel,MemberEvent,2,3,264,0,0,0
Rebol,IssuesEvent,3,11,3617,23,77,76
Glyph,ForkEvent,15,18,1556938,25,0,32
RobotFramework,CreateEvent,2,3,0,0,0,0
Common Lisp,PublicEvent,15,15,244349,0,0,1
Io,CommitCommentEvent,1,1,138087,0,0,0
Arc,PullRequestEvent,2,6,1133786,434,26,2534
Gosu,DeleteEvent,7,28,38035,1,4,4
Fantom,PublicEvent,1,1,320,0,0,0
Opa,CreateEvent,2,2,0,0,0,0
Agda,PublicEvent,4,5,1807,0,0,0
Julia,ReleaseEvent,8,11,14874,10,0,9
Xtend,ReleaseEvent,4,6,28577,13,4,110
Dylan,CommitCommentEvent,3,38,2763123,353,579,1641
Forth,ForkEvent,19,21,176432,29,15,48
Kotlin,TeamAddEvent,2,3,25979,13,5,45
NetLogo,TeamAddEvent,2,2,208,0,1,1
Max,CommitCommentEvent,2,3,171504,6,805,20
Matlab,TeamAddEvent,10,11,657609,6,29,17
RobotFramework,IssueCommentEvent,1,28,437574,28,204,28
M,DeleteEvent,5,25,1451384,25,2,255
NetLogo,PublicEvent,1,1,512,0,0,0
RobotFramework,IssuesEvent,1,29,461588,29,196,29
Nemerle,CommitCommentEvent,2,5,20565,54,30,72
Ioke,ForkEvent,13,13,6121,14,1,37
Prolog,CommitCommentEvent,1,24,745272,0,0,0
Brightscript,MemberEvent,2,2,4286,1,0,0
HaXe,GollumEvent,3,3,1955,13,4,65
AppleScript,CommitCommentEvent,2,2,553,2,0,4
ANTLR,PublicEvent,1,1,132,0,0,0
AppleScript,PullRequestReviewCommentEvent,1,1,0,0,1,0
Ada,TeamAddEvent,1,1,422588,0,1,0
Agda,CommitCommentEvent,1,1,4495,1,0,13
UnrealScript,IssueCommentEvent,2,17,11624,15,61,17
UnrealScript,IssuesEvent,3,19,11866,9,37,19
ooc,PullRequestEvent,2,7,2614,13,7,55
Nemerle,GollumEvent,6,10,233576,67,184,223
Coq,PublicEvent,1,1,1260,0,8,1
Gosu,GollumEvent,7,10,1136,0,0,3
Slash,PullRequestReviewCommentEvent,2,9,431644,76,201,207
ANTLR,CommitCommentEvent,1,3,744,0,0,0
Lasso,MemberEvent,2,4,59690,0,0,0
ANTLR,IssuesEvent,1,12,471304,0,28,24
Max,ReleaseEvent,5,8,176995,0,22,4
Turing,IssueCommentEvent,1,3,3480,18,21,27
DOT,TeamAddEvent,3,4,434237,0,0,1
CLIPS,DeleteEvent,2,2,2196,0,0,1
Fancy,ForkEvent,13,13,13652,29,3,246
Arc,PublicEvent,1,1,5060,0,0,0
Arc,MemberEvent,2,2,59910,8,0,22
Common Lisp,ReleaseEvent,2,4,35241,179,74,757
Arc,IssueCommentEvent,2,3,410422,30,24,106
Logtalk,ForkEvent,6,6,36678,9,7,55
Logtalk,IssuesEvent,1,1,13593,1,4,21
Logtalk,IssueCommentEvent,1,1,13593,1,4,21
Idris,DeleteEvent,2,3,899,2,0,13
Delphi,GollumEvent,3,3,2840,1,0,0
Scilab,ReleaseEvent,1,2,784,0,0,0
Elm,TeamAddEvent,2,2,11680,80,6,106
Rouge,ForkEvent,5,6,3274764,7,1,13
Rouge,WatchEvent,6,9,3311948,6,1,16
J,CreateEvent,5,6,0,0,0,0
LiveScript,TeamAddEvent,4,4,6824,0,22,2
XML,ReleaseEvent,1,1,42926,6,58,23
Perl6,CommitCommentEvent,2,6,103291,500,39,1676
Squirrel,TeamAddEvent,2,2,4954,0,0,0
J,DeleteEvent,1,1,0,0,0,0
NetLogo,ReleaseEvent,1,2,2460,0,1,6
Forth,PullRequestEvent,2,5,0,5,2,0
SuperCollider,IssueCommentEvent,3,5,16376,19,92,88
Mirah,CommitCommentEvent,1,2,101386,112,118,1314
PogoScript,CreateEvent,4,8,932,1,0,2
PogoScript,PullRequestEvent,2,7,989,7,12,2
Bro,PublicEvent,1,1,0,0,0,0
ooc,DeleteEvent,2,5,2238,2,4,12
XQuery,CommitCommentEvent,2,2,18848,4,31,0
Fancy,IssueCommentEvent,1,1,11772,15,1,210
Arc,IssuesEvent,4,18,399169,70,53,185
XQuery,TeamAddEvent,1,1,0,0,0,0
NetLogo,PullRequestReviewCommentEvent,1,2,416,0,20,2
Volt,ForkEvent,3,3,3540,3,0,3
Volt,WatchEvent,2,6,4280,2,0,14
Awk,PullRequestReviewCommentEvent,1,4,8960,23,17,20
wisp,DeleteEvent,1,2,1318,0,6,0
UnrealScript,CommitCommentEvent,1,1,1011,1,4,1
AutoIt,PublicEvent,1,1,900,0,1,1
Rebol,MemberEvent,1,3,43881,3,0,0
Boo,MemberEvent,2,4,0,0,0,0
OpenEdge ABL,CommitCommentEvent,3,5,102642,94,0,13
Nemerle,PublicEvent,2,2,1113,0,1,0
ANTLR,DeleteEvent,2,6,41549,0,4,2
Augeas,DeleteEvent,2,3,17230,0,0,0
Gosu,PublicEvent,2,2,452,0,4,0
Processing,PullRequestReviewCommentEvent,1,1,0,1,2,0
COBOL,PublicEvent,2,2,104,0,0,0
COBOL,TeamAddEvent,1,1,0,0,0,0
Perl6,MemberEvent,1,2,496,6,0,10
Lasso,ReleaseEvent,1,3,10546,6,0,9
Arc,GollumEvent,1,1,57438,6,0,19
Ecl,IssuesEvent,1,1,4178,20,1,32
Vala,MemberEvent,5,5,13148,12,8,8
Gosu,MemberEvent,2,2,132,0,0,0
Logos,TeamAddEvent,6,6,1663124,0,0,0
Turing,CreateEvent,3,4,0,0,0,0
Verilog,ReleaseEvent,3,3,18221,1,1,2
Ragel in Ruby Host,GollumEvent,1,9,2268,0,0,0
Dylan,TeamAddEvent,2,2,90453,31,3,132
NetLogo,ForkEvent,19,20,197955,34,110,82
Opa,WatchEvent,7,7,3902,37,13,151
Processing,TeamAddEvent,3,4,157,0,0,2
ASP,PullRequestReviewCommentEvent,1,1,287,13,1,27
Awk,CommitCommentEvent,2,3,291674,16,10,18
Io,PublicEvent,2,2,212,0,0,0
ABAP,CreateEvent,2,2,0,0,0,0
RobotFramework,MemberEvent,1,2,32098,2,22,2
Fantom,ForkEvent,25,25,56682,25,0,59
Bro,CommitCommentEvent,1,1,0,0,0,0
Verilog,TeamAddEvent,3,3,174413,64,19,183
Smalltalk,TeamAddEvent,2,2,188,0,0,0
Gosu,CommitCommentEvent,4,4,1210,54,1,94
Max,PublicEvent,1,1,228152,0,0,0
Fancy,IssuesEvent,1,1,11772,15,1,210
Turing,GollumEvent,1,1,0,0,0,0
Prolog,MemberEvent,1,1,196,0,0,0
Rebol,CreateEvent,2,2,136,0,0,1
Delphi,TeamAddEvent,1,1,99,0,1,0
Rebol,PublicEvent,1,1,0,0,0,0
Factor,CommitCommentEvent,1,1,77339,0,0,1
J,ForkEvent,15,15,34848,15,0,19
Opa,IssueCommentEvent,1,1,96,1,1,45
Racket,TeamAddEvent,1,1,148,0,0,1
OpenEdge ABL,ReleaseEvent,1,3,1932,0,0,3
Ragel in Ruby Host,IssueCommentEvent,1,2,11118,74,18,190
Bro,IssueCommentEvent,1,1,292,2,0,2
ColdFusion,TeamAddEvent,2,2,0,1,0,0
Tcl,PullRequestReviewCommentEvent,1,5,20620,0,5,20
Clean,ReleaseEvent,1,1,896,0,0,0
CLIPS,IssueCommentEvent,1,3,432,8,3,0
xBase,PublicEvent,1,1,9552,0,0,0
Oxygene,PullRequestReviewCommentEvent,1,1,54116,42,10,75
Squirrel,PublicEvent,1,1,240,0,0,1
TXL,PushEvent,1,1,116,0,0,1
REALbasic,CreateEvent,6,6,198286,8,8,53
Agda,PullRequestReviewCommentEvent,1,1,510,2,4,3
Standard ML,TeamAddEvent,1,1,34583,0,0,0
Ada,CommitCommentEvent,1,7,30555,0,0,0
Objective-J,TeamAddEvent,1,1,698,0,0,0
PogoScript,PublicEvent,1,1,160,0,0,0
Io,GollumEvent,1,1,160,1,0,1
Squirrel,ReleaseEvent,2,3,3548,0,18,7
Scilab,MemberEvent,2,2,91264,0,0,0
Tcl,CommitCommentEvent,2,2,14996,4,2,11
Nemerle,PullRequestReviewCommentEvent,1,1,19057,0,1,2
Max,TeamAddEvent,1,1,154329,1,1,2
XQuery,PullRequestReviewCommentEvent,1,1,11530,5,1,4
Monkey,PublicEvent,2,2,0,0,0,0
Pure Data,TeamAddEvent,1,1,0,0,0,0
COBOL,GollumEvent,1,1,1100,0,3,1
OpenEdge ABL,PullRequestReviewCommentEvent,1,1,276,8,2,1
REALbasic,PublicEvent,1,1,0,0,0,0
PogoScript,PullRequestReviewCommentEvent,1,2,452,3,8,0
Kotlin,PublicEvent,2,2,0,0,0,0
MoonScript,ReleaseEvent,2,3,25988,0,0,0
Perl6,IssuesEvent,1,1,6353,4,1,42
Bluespec,IssuesEvent,1,2,7698,11,14,5
Mirah,PublicEvent,1,1,148,0,0,1
Crystal,PullRequestReviewCommentEvent,1,4,66068,120,48,2393
SuperCollider,DeleteEvent,1,1,1652,0,0,0
Opa,IssuesEvent,2,3,3152,5,3,75
Nu,PublicEvent,1,1,19128,0,0,0
Nimrod,ReleaseEvent,1,1,0,0,4,0
AppleScript,PublicEvent,2,2,540,0,0,0
Forth,DeleteEvent,1,1,20185,1,15,6
M,PullRequestReviewCommentEvent,1,2,0,3,2,0
Nu,MemberEvent,1,1,6633,2,0,2
Prolog,DeleteEvent,3,3,4672,0,1,1
Glyph,GollumEvent,1,1,1160,0,0,0
CLIPS,PublicEvent,1,1,2001,0,0,0
PogoScript,ReleaseEvent,1,1,192,1,0,2
PogoScript,CommitCommentEvent,1,2,384,2,0,4
Fantom,GollumEvent,1,2,730,0,0,2
xBase,GollumEvent,1,1,392,1,0,0
Ceylon,MemberEvent,1,1,3688,0,0,1
Boo,PullRequestEvent,2,4,11196,12,2,14
ABAP,CommitCommentEvent,1,1,0,0,0,0
REALbasic,ReleaseEvent,2,2,183431,8,8,53
Xtend,TeamAddEvent,1,1,0,0,0,0
Glyph,DeleteEvent,1,1,1188,0,0,1
Agda,MemberEvent,1,1,3740,0,0,0
Io,PullRequestReviewCommentEvent,1,2,494,2,2,2
DCPU-16 ASM,MemberEvent,1,1,0,0,0,0
XC,MemberEvent,1,1,0,0,0,0
Arc,CommitCommentEvent,2,4,6772,187,1,1150
Awk,ReleaseEvent,1,1,560,0,0,0
Smalltalk,PublicEvent,1,1,216271,0,0,0
ooc,GollumEvent,1,1,214,2,0,6
AutoIt,PullRequestReviewCommentEvent,1,1,0,1,12,0
Parrot,CommitCommentEvent,1,1,83448,0,0,0
Self,DeleteEvent,1,2,95557,18,11,177
REALbasic,DeleteEvent,1,1,14388,0,0,0
ooc,MemberEvent,1,1,62,1,0,1
UnrealScript,TeamAddEvent,1,1,0,0,0,0
ooc,PullRequestReviewCommentEvent,1,1,298,1,2,1
ANTLR,ReleaseEvent,1,1,39052,0,4,2
Delphi,CommitCommentEvent,1,1,947,0,0,0
